id,datetime,temperature,humidity
171,17-09-2020 15:59:56,24.77,41.29
172,17-09-2020 15:59:57,22.16,57.71
173,17-09-2020 15:59:58,24.52,49.14
174,17-09-2020 15:59:59,25.96,51.95
175,17-09-2020 16:00:00,21.14,41.56
176,17-09-2020 16:00:01,25.01,54.57
177,17-09-2020 16:00:02,22.07,40.27
178,17-09-2020 16:00:03,22.91,53.09
179,17-09-2020 16:00:04,20.53,51.3
180,17-09-2020 16:00:05,23.23,49.52
181,17-09-2020 16:00:06,21.49,56.1
182,17-09-2020 16:00:07,21.62,46.23
183,17-09-2020 16:00:08,22.15,44.1
184,17-09-2020 16:00:09,23.59,56.08
185,17-09-2020 16:00:10,25.36,55.57
186,17-09-2020 16:00:11,23.47,59.31
187,17-09-2020 16:00:12,24.24,56.97
188,17-09-2020 16:00:13,22.09,40.28
189,17-09-2020 16:00:14,23.48,40.43
190,17-09-2020 16:00:15,23.93,41.81
191,17-09-2020 16:00:16,22.46,56.66
192,17-09-2020 16:00:17,22.57,41.29
193,17-09-2020 16:00:18,22.43,48.97
194,17-09-2020 16:00:19,24.9,40.07
195,17-09-2020 16:00:20,24.19,50.94
196,17-09-2020 16:00:21,20.71,46.63
197,17-09-2020 16:00:22,23.71,49.22
198,17-09-2020 16:00:23,21.38,41.35
199,17-09-2020 16:00:24,20.14,50.82
200,17-09-2020 16:00:25,23.88,53.36
201,17-09-2020 16:00:26,24.83,45.39
202,17-09-2020 16:00:27,25.62,55.03
203,17-09-2020 16:00:28,23.49,48.08
204,17-09-2020 16:00:30,24.93,43.75
205,17-09-2020 16:00:31,24.28,58.78
206,17-09-2020 16:00:32,24.63,50.49
207,17-09-2020 16:00:33,23.58,59.54
208,17-09-2020 16:00:34,23.82,50.57
209,17-09-2020 16:00:35,25.44,43.28
210,17-09-2020 16:00:36,25.24,42.4
211,17-09-2020 16:00:37,25.65,51.12
212,17-09-2020 16:00:38,25.99,57.23
213,17-09-2020 16:00:39,22.61,52.61
214,17-09-2020 16:00:40,20.89,40.85
215,17-09-2020 16:00:41,24.39,56.2
216,17-09-2020 16:00:42,24.54,47.82
217,17-09-2020 16:00:43,22.25,51.87
218,17-09-2020 16:00:44,24.14,45.95
219,17-09-2020 16:00:45,24.37,43.82
220,17-09-2020 16:00:46,24.93,41.05
221,17-09-2020 16:00:47,21.8,56.55
222,17-09-2020 16:00:48,20.64,52.72
223,17-09-2020 16:00:49,20.1,58.43
224,17-09-2020 16:00:50,24.68,53.73
225,17-09-2020 16:00:51,20.43,50.54
226,17-09-2020 16:00:52,22.43,42.44
227,17-09-2020 16:00:53,22.44,52.0
228,17-09-2020 16:00:54,23.02,40.52
229,17-09-2020 16:00:55,24.34,48.99
230,17-09-2020 16:00:56,22.29,42.25
231,17-09-2020 16:00:57,23.04,47.52
232,17-09-2020 16:00:58,25.51,40.93
233,17-09-2020 16:00:59,22.74,58.66
234,17-09-2020 16:01:00,24.13,51.89
235,17-09-2020 16:01:01,25.87,58.66
236,17-09-2020 16:01:02,22.35,40.72
237,17-09-2020 16:01:03,21.89,47.03
238,17-09-2020 16:01:04,22.67,47.41
239,17-09-2020 16:01:05,21.12,54.8
240,17-09-2020 16:01:06,22.12,57.89
241,17-09-2020 16:01:08,20.31,46.61
242,17-09-2020 16:01:09,23.8,52.1
243,17-09-2020 16:01:10,22.53,46.39
244,17-09-2020 16:01:11,21.24,43.24
245,17-09-2020 16:01:12,21.33,50.15
246,17-09-2020 16:01:13,20.11,52.24
247,17-09-2020 16:01:14,21.47,41.43
248,17-09-2020 16:01:15,23.02,46.65
249,17-09-2020 16:01:16,22.37,43.97
250,17-09-2020 16:01:17,23.35,56.4
251,17-09-2020 16:01:18,24.55,44.5
252,17-09-2020 16:01:19,23.67,57.71
253,17-09-2020 16:01:20,21.65,45.36
254,17-09-2020 16:01:21,20.86,51.42
255,17-09-2020 16:01:22,21.47,47.0
256,17-09-2020 16:01:23,25.98,40.37
257,17-09-2020 16:01:24,24.75,48.09
258,17-09-2020 16:01:25,25.0,57.72
259,17-09-2020 16:01:26,22.58,58.1
260,17-09-2020 16:01:27,25.39,47.6
261,17-09-2020 16:01:28,20.04,49.43
262,17-09-2020 16:01:29,24.5,50.25
263,17-09-2020 16:01:30,23.89,47.99
264,17-09-2020 16:01:31,24.14,56.58
265,17-09-2020 16:01:32,21.69,44.28
266,17-09-2020 16:01:33,23.94,46.51
267,17-09-2020 16:01:34,23.27,59.52
268,17-09-2020 16:01:35,21.48,53.0
269,17-09-2020 16:01:36,25.53,45.91
270,17-09-2020 16:01:37,23.32,48.99
271,17-09-2020 16:01:38,23.0,59.15
272,17-09-2020 16:01:39,22.54,40.67
273,17-09-2020 16:01:40,25.73,59.62
274,17-09-2020 16:01:41,23.85,42.27
275,17-09-2020 16:01:43,23.22,49.03
276,17-09-2020 16:01:44,23.54,54.2
277,17-09-2020 16:01:45,24.62,55.91
278,17-09-2020 16:01:46,25.29,55.9
279,17-09-2020 16:01:47,24.84,57.82
280,17-09-2020 16:01:48,23.5,46.66
281,17-09-2020 16:01:49,23.87,41.87
282,17-09-2020 16:01:50,24.26,54.65
283,17-09-2020 16:01:51,23.63,47.51
284,17-09-2020 16:01:52,25.49,40.61
285,17-09-2020 16:01:53,22.21,57.19
286,17-09-2020 16:01:54,22.15,42.3
287,17-09-2020 16:01:55,22.0,52.72
288,17-09-2020 16:01:56,21.39,58.76
289,17-09-2020 16:01:57,22.14,44.68
290,17-09-2020 16:01:58,23.04,53.49
291,17-09-2020 16:01:59,20.28,48.63
292,17-09-2020 16:02:00,22.97,49.53
293,17-09-2020 16:02:01,21.03,54.11
294,17-09-2020 16:02:02,25.48,48.05
295,17-09-2020 16:02:03,23.09,58.65
296,17-09-2020 16:02:04,25.36,46.33
297,17-09-2020 16:02:05,21.41,53.69
298,17-09-2020 16:02:06,23.05,45.54
299,17-09-2020 16:02:07,21.4,50.38
300,17-09-2020 16:02:08,20.32,41.96
301,17-09-2020 16:02:09,23.14,47.77
302,17-09-2020 16:02:10,21.31,41.13
303,17-09-2020 16:02:11,22.78,46.14
304,17-09-2020 16:02:12,25.57,48.57
305,17-09-2020 16:02:13,22.39,55.76
306,17-09-2020 16:02:14,20.85,48.45
307,17-09-2020 16:02:15,22.91,48.66
308,17-09-2020 16:02:17,22.82,59.41
309,17-09-2020 16:02:18,21.45,53.54
310,17-09-2020 16:02:19,24.76,42.98
311,17-09-2020 16:02:20,23.83,50.52
312,17-09-2020 16:02:21,22.91,55.78
313,17-09-2020 16:02:22,24.16,47.95
314,17-09-2020 16:02:23,20.69,45.05
315,17-09-2020 16:02:24,22.58,42.52
316,17-09-2020 16:02:25,25.1,44.96
317,17-09-2020 16:02:26,20.53,41.89
318,17-09-2020 16:02:27,23.82,46.67
319,17-09-2020 16:02:28,25.86,41.01
320,17-09-2020 16:02:29,20.79,53.81
321,17-09-2020 16:02:30,22.28,57.27
322,17-09-2020 16:02:31,21.37,45.62
323,17-09-2020 16:02:32,20.76,44.65
324,17-09-2020 16:02:33,24.36,51.15
325,17-09-2020 16:02:34,24.31,48.97
326,17-09-2020 16:02:35,20.98,55.71
327,17-09-2020 16:02:36,22.53,43.89
328,17-09-2020 16:02:37,23.74,56.6
329,17-09-2020 16:02:38,25.29,56.37
330,17-09-2020 16:02:39,24.02,44.4
331,17-09-2020 16:02:40,23.48,48.82
332,17-09-2020 16:02:41,22.12,58.78
333,17-09-2020 16:02:42,23.74,46.42
334,17-09-2020 16:02:43,25.97,45.95
335,17-09-2020 16:02:44,22.13,57.65
336,17-09-2020 16:02:45,22.91,42.25
337,17-09-2020 16:02:46,21.45,47.31
338,17-09-2020 16:02:47,24.05,47.29
339,17-09-2020 16:02:48,22.98,42.06
340,17-09-2020 16:02:49,24.07,45.22
341,17-09-2020 16:02:50,22.8,54.19
342,17-09-2020 16:02:51,23.58,57.59
343,17-09-2020 16:02:52,25.85,42.16
344,17-09-2020 16:02:53,21.32,43.99
345,17-09-2020 16:02:55,25.43,48.34
346,17-09-2020 16:02:56,24.85,41.53
347,17-09-2020 16:02:57,25.15,42.0
348,17-09-2020 16:02:58,26.0,57.97
349,17-09-2020 16:02:59,25.69,56.82
350,17-09-2020 16:03:00,23.06,58.49
351,17-09-2020 16:03:01,24.91,41.49
352,17-09-2020 16:03:02,25.35,49.12
353,17-09-2020 16:03:03,20.9,48.31
354,17-09-2020 16:03:04,20.98,54.93
355,17-09-2020 16:03:05,25.83,48.0
356,17-09-2020 16:03:06,20.18,46.81
357,17-09-2020 16:03:07,22.71,52.8
358,17-09-2020 16:03:08,20.55,50.93
359,17-09-2020 16:03:09,21.06,47.8
360,17-09-2020 16:03:10,23.31,43.03
361,17-09-2020 16:03:11,22.73,44.58
362,17-09-2020 16:03:12,23.98,47.12
363,17-09-2020 16:03:13,23.16,59.34
364,17-09-2020 16:03:14,23.78,41.87
365,17-09-2020 16:03:15,21.08,57.67
366,17-09-2020 16:03:16,23.32,55.73
367,17-09-2020 16:03:17,24.52,43.68
368,17-09-2020 16:03:18,22.6,53.85
369,17-09-2020 16:03:19,23.07,59.69
370,17-09-2020 16:03:20,23.68,59.03
371,17-09-2020 16:03:21,25.97,41.79
372,17-09-2020 16:03:22,22.93,57.83
373,17-09-2020 16:03:23,25.35,52.58
374,17-09-2020 16:03:24,20.64,59.78
375,17-09-2020 16:03:25,22.99,44.95
376,17-09-2020 16:03:26,23.37,44.58
377,17-09-2020 16:03:27,22.17,47.85
378,17-09-2020 16:03:28,22.75,43.99
379,17-09-2020 16:03:29,22.64,59.28
380,17-09-2020 16:03:30,20.76,53.74
381,17-09-2020 16:03:32,23.61,48.98
382,17-09-2020 16:03:33,23.62,45.69
383,17-09-2020 16:03:34,23.96,57.65
384,17-09-2020 16:03:35,24.08,48.43
385,17-09-2020 16:03:36,23.02,54.03
386,17-09-2020 16:03:37,25.36,54.78
387,17-09-2020 16:03:38,20.23,55.48
388,17-09-2020 16:03:39,21.02,50.28
389,17-09-2020 16:03:40,22.13,59.22
390,17-09-2020 16:03:41,25.54,58.82
391,17-09-2020 16:03:42,25.83,45.98
392,17-09-2020 16:03:43,20.11,43.69
393,17-09-2020 16:03:44,20.89,50.82
394,17-09-2020 16:03:45,24.79,47.53
395,17-09-2020 16:03:46,25.61,59.29
396,17-09-2020 16:03:47,22.29,59.28
397,17-09-2020 16:03:48,24.13,49.86
398,17-09-2020 16:03:49,25.19,45.09
399,17-09-2020 16:03:50,21.74,42.81
400,17-09-2020 16:03:51,25.2,46.08
401,17-09-2020 16:03:52,22.26,41.48
402,17-09-2020 16:03:53,25.21,49.9
403,17-09-2020 16:03:54,20.38,46.87
404,17-09-2020 16:03:55,23.57,57.37
405,17-09-2020 16:03:56,20.11,52.21
406,17-09-2020 16:03:57,25.65,53.86
407,17-09-2020 16:03:58,23.29,58.97
408,17-09-2020 16:03:59,20.86,43.13
409,17-09-2020 16:04:00,23.24,58.34
410,17-09-2020 16:04:01,24.46,49.43
411,17-09-2020 16:04:02,21.1,48.16
412,17-09-2020 16:04:03,24.76,55.34
413,17-09-2020 16:04:04,20.14,47.73
414,17-09-2020 16:04:05,21.36,47.94
415,17-09-2020 16:04:06,20.19,52.51
416,17-09-2020 16:04:07,21.11,55.72
417,17-09-2020 16:04:08,25.5,58.08
418,17-09-2020 16:04:10,25.02,58.49
419,17-09-2020 16:04:11,21.51,58.67
420,17-09-2020 16:04:12,23.18,48.01
421,17-09-2020 16:04:13,23.08,40.57
422,17-09-2020 16:04:14,20.31,45.78
423,17-09-2020 16:04:15,23.36,43.77
424,17-09-2020 16:04:16,23.51,59.66
425,17-09-2020 16:04:17,22.55,54.21
426,17-09-2020 16:04:18,20.49,51.94
427,17-09-2020 16:04:19,24.81,42.19
428,17-09-2020 16:04:20,21.21,53.38
429,17-09-2020 16:04:21,23.83,57.17
430,17-09-2020 16:04:22,23.38,52.29
431,17-09-2020 16:04:23,22.89,48.97
432,17-09-2020 16:04:24,24.4,51.11
433,17-09-2020 16:04:25,22.77,53.89
434,17-09-2020 16:04:26,21.97,44.42
435,17-09-2020 16:04:27,24.03,51.09
436,17-09-2020 16:04:28,20.18,56.83
437,17-09-2020 16:04:29,21.99,51.71
438,17-09-2020 16:04:30,20.1,48.85
439,17-09-2020 16:04:31,20.03,47.88
